"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 15 02:52:26 UTC 2023","Sun Oct 15 02:52:30 UTC 2023","3852","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Sun Oct 15 02:31:36 UTC 2023","Sun Oct 15 02:31:36 UTC 2023","38","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sun Oct 15 03:59:14 UTC 2023","Sun Oct 15 03:59:25 UTC 2023","10992","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Oct 15 03:50:24 UTC 2023","Sun Oct 15 03:50:40 UTC 2023","16015","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sun Oct 15 02:31:16 UTC 2023","Sun Oct 15 02:31:36 UTC 2023","19871","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 15 02:41:38 UTC 2023","Sun Oct 15 02:41:39 UTC 2023","722","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Oct 15 03:37:05 UTC 2023","Sun Oct 15 03:37:09 UTC 2023","3936","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Oct 15 02:56:17 UTC 2023","Sun Oct 15 02:56:39 UTC 2023","21583","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 15 04:04:30 UTC 2023","Sun Oct 15 04:04:43 UTC 2023","12878","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Oct 15 03:21:13 UTC 2023","Sun Oct 15 03:21:16 UTC 2023","2680","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Oct 15 04:08:41 UTC 2023","Sun Oct 15 04:08:46 UTC 2023","5504","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sun Oct 15 04:22:48 UTC 2023","Sun Oct 15 04:23:05 UTC 2023","16785","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Oct 15 02:57:32 UTC 2023","Sun Oct 15 02:57:56 UTC 2023","24083","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Oct 15 02:44:05 UTC 2023","Sun Oct 15 02:44:13 UTC 2023","7681","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Oct 15 03:29:35 UTC 2023","Sun Oct 15 03:29:50 UTC 2023","15364","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
